Post_Id,Text,Lable
d4_000001,"""there's so much to live for"" ""people care about you,"" ""you can get through this"" -- i know, but i still want to die. i know that there is so much to live for.  i see beautiful things every day.  things that make me happy.  there's so much i want to do.

  
there's so many wonderful people in my life.  people who i know would step up to help me if they knew just how close i was to killing myself.  people who would be absolutely destroyed if i did.  

  
and i know i could get through this.  i've gotten through every day so far.  but sometimes it just feels like it boils down to a big ""i don't wanna.""



i don't want to go through years of painstaking effort trying to get something basic like healthcare and education when i've already fallen so far behind.  mental healthcare feels like a big joke.  maybe i could find some kind of medication to make my brain function like a normal human being's, but... that will take years, a whole different kind of pain and struggle.  it'll effect my future and it comes with a stigma.  hearing people talk about what they go through just to get antidepressants or adhd meds at a pharmacy is crazy.  and the money... yeah, everything's about money.

  
there are just so many big, almost undefeatable evils in life to even think about handling one.  bigotry.  healthcare.  capitalism.

  
i feel like i can talk myself into thinking anything.  but my heart keeps leading me to the next great adventure.  daydreaming and romanticizing the thought of making the decision and taking my life.  it's gone from suicidal ideation to something a whole lot more.",1
d4_000002,"i'm sorry, but i'm going to do it. my cat must know, he is on my lap. at midnight i will do it. please help me. any body. i'm honestly done. i don't care if i'm 13. i just want it to end i haven't told anybody how i'm feeling because i don't want to go to the mental hospital. the mental hospital is hell. if it wasn't there i would be talking to my parents. i would be getting help. but i can't, i know the consequences. the hospital punishes me. i would use a hotline but i don't want police coming to my house. i'm scared. i'm the most scared i've been in my life. 





i know nobody will read this, but here i want to tell my story. the truth is, i want to live. i just want the pain to stop. 




i'm a 13 year old girl. i've been hospitalized 4 times. i've been suffering a lot. i have no self-confidence. i have no love for myself. 
i sew. i sew dolls. i love my dolls. nobody will understand. 



here is my first goodbye.  to my dolls: i love you. i know when i leave you will go to. i'm sorry. my heart breaks. i wish i could've taken care of you better. you saved my life 2 times. you helped me when i needed it the most. i will say all your names. i love all of you. i'm in tears. i don't want to leave you. i don't want to go. kazumi, sayaka, kyoko, mami, madoka, luka, rin, homura, yachiyo, iroha, sana, felicia, tsuruno, nikki, ren, rena, mitama, alina, kanade, sakura, rika, gumi, emma, ruby, weiss, blake, yang, yowane, nagisa. i'm so sorry. i love you. all of you




to miku: i love you. your not even a doll to me. you are my best friend. my very best friend. you where there when no other human friend loved me. you where there when i cried out for help. you are here now sleeping not knowing anything. i can't even apologize. it won't mean anything. i hope in another world we could meet again. i love you.




i draw. everyday. but nobody likes my drawings.  here is my second goodbye: to my materials. i wish i could've used you more. i wish i could've made something worth while out of you. but i couldn't. maybe someone else can. i'm sorry.




i used to sing. i lost confidence in doing so. here is my third goodbye: to my unwritten words. i'm sorry i couldn't sing you to the world. i'm so sorry.




my fourth: to mommy and daddy and my brother. i love you. i wish i could've made you happier. i wish i could've made you proud.





and finally binxy. my cat. you are with me now, in my last hours. i can't even say anything. you won't understand. my heart is dust now, because i'm being selfish. you are 14.  i don't want to make you last years sad. i know you love me. you will miss me. i can't even say anything. you seem to know. you have your head down. i know i'm being selfish. but please know, i love you. i love you so much binxy. 




i don't know what to do. i want help. but i can't with out going to the hospital. i'm sorry. please forgive me. hold my hand. give me a hug. anything. with one final cry, please. i don't want to go. but i can't stay. i'm sorry. i'm sorry.  i'm sorry.",1
d4_000003,"i dont know what to do with my life i know they say suicide is a permanent solution to a temporary problem, but its a solution none the less.
i made things hard for myself by releasing the ""skeletons in my closet,"" and now everyone in my state looks at me like i'm an unregistered sex offender.
im only living cause of family, but even they look at me like this. im just lost fr",1
d4_000004,"heyyy i really hope ppl i know won't see this. ever since 4 years ago i have been suffering from acne, doesn't sound like the end of the world to you prob but now in this world i feel like even a bigger outcast then i already am. it's not just the acne i have i also have bigger lips, which don't sound bad but people talk abt it too much even my parents in the morning ask me if i put on lip plumper or if i'm having an allergic reaction. i'm not. well back to the acne, it never got better i already went to the dermatologist and they have to tretnoin or smth and sm other stuff to use, i used it almost for a whole year and nothing changed my face looked as disgusting as it always was and is. every where i go and every person i talk to including my friends and family always ask if i ate smth wrong or if i am using to much stuff on my face, but then recommend stuff to use on my face. in middle school i see everyone have clear skin but they eat a lot of junk food and drink dunkin every day (i'm not hating) whenever i see someone doing that i wonder y their skin isn't like mine and theirs is clear and beautiful. all my friends have clear skin so i feel different  when i'm with them. i bought loads of makeup to cover it up but it just makes it look worse and for the past 2 weeks my face has been itching and burning to the point where i can't hold back my tears. i have already had thoughts of suicide before and tried to drown my self and burn but i freak out in the end so instead i just crack my fingers and scratch my skin until it bleeds. today i also had thoughts of dying how there is no point of me living i don't have any friends who i can talk to and express my feelings i try talking to my mom but i can't tell anyone about my problems. i went to therapy but i didn't tell them anything either. the world wouldn't change if i weren't here.",1
d4_000005,"""it gets better"" is just bullshit that people say to make you feel better when they don't know what to say. it doesn't get better. when it gets better, it gets even worse afterwards. nothing good lasts forever. the bad wouldn't be bad without the good and vice versa. but the bad is just so, so fucking bad. i'm driven one step closer to suicide each time it gets bad, and my expectations on how bad it can get are subverted every time.",1
d4_000006,"police officer struggling with suicidal thoughts i cannot openly talk about. this is a throw-away but i intend on reading responses. i think i just mostly want to type and get things off my chest.

(tldr; who can i talk to about my strong desire to kill myself without there being an fear of repercussions?  every outlet i find wants to know my location or my contact info before they'll talk to me.  i just want to call a suicide hotline who won't trace my call.)

i am 35 years old and live and work in southern california as a deputy for the last 10 years; i am no spring chicken.  my wife of 7 years and i have been struggling with infertility for 4 years now. lots of surgery and medication but no end in sight.  the stress of scheduled sex lives has absolutely taken a toll on us.  we're still very much in love, but its not the same.

in july of 2020 i had a fairly ""routine"" call involving child abuse that kind of pushed me over the edge. after the call i had a mental breakdown and i have been out of work since then.

i take 45mg a day of buspar (my wife says it doesn't help me... i am not sure), xanax as needed as prescribed by my do (i originally took....alprazam? but had a rare side effect and had to stop).  he has asked that i see a psychiatrist but the next avail appointment is mid-january. 

i digress...

because of my line of work, if i talk about suicide it can be... well... career suicide (no pun intended).  so i keep all these thoughts absolutely bottled up inside and have to act like i am not having them when my therapists asks about it.  my therapist is provided by work and specializes in law enforcement issues, which is nice at times.

i think about killing myself... hourly? i usually wake up 1-3 a night in the middle of a panic attack.  i cannot get away from this pain; its almost a physical pain. i have specific plans on how i would kill myself; the works.  i think about the entire process in detail often.  when i drink i usually come so close to actually doing it that i really fear its only a matter of time until it happens. which is so ironic to type out.  clearly i have reservations about killing myself when i am in the right state of mind... but when i am in the wrong state of mind it sounds like a realistic idea. i am physically exhausted from all of this i genuinely want the pain to end and i not seeing any answers on how to make it happen.

i want to talk to someone about this without putting my job on the line (being put on a 5150 hold in ca means i cannot carry a gun and therefore... yeah...).  i am so heartbroken and frustrated i just don't know what to do anymore.  every day seems like groundhog day.  i desperately want my wife to leave me because she deserves better; it would make it a lot easier to end my life if she hated me.  i have completely gotten rid of social media and blocked my parents out of my life for no really good reason.  what a downward spiral the last few months has been.

who can i talk to about my strong desire to kill myself without there being an fear of repercussions?  every outlet i find wants to know my location or my contact info before they'll talk to me.  i just want to call a suicide hotline who won't trace my call.  i really think i will end up killing myself within the next few months, but ironically i don't want to talk to anyone who might be able to stop me. this is so backwards.

&#x200b;

just typing this out if very exhausting and i might go to bed for the night.  thank you for listening.",1
d4_000007,"anyone else's suicidal thoughts get triggered by the smallest things? i don't even want to write out the small things that happen because they sound so stupid when i look back on them, but 9 times out of 10 they just result in me crying and wanting to die maybe im just weak and pathetic",1
d4_000008,"is having intrusive thoughts normal? hi, not sure if right community to ask, as people here seem to have more complex problems than mine, but i want to give it a try.

is it normal to have suicidal thoughts? are you having them? i do not plan to kill myself, it's more like while driving a car i think ""i should smash myself into that tree"". the second after that i think ""no, that would make my daughter sad"". sometimes while walking through the bridge i think about jumping over the railing and falling on the highway.

its not always a simple thought about killing myself. sometimes i think about stuff that will make my life so miserable that the only solution to not be baggage to anyone is to kill myself - like today i thought it would be interesting to hit my eyeball with scissors. after that i thought it would be stupid to explain so i thought i would need to poke both my eyes. but that would make me useless and unable to work, so i could not provide for my family. those are scary.

i don't know if those things are normal or if i should talk about them with someone. it intensifies when i'm stressed and overworked, but i'm worried that someday those thoughts will win.",1
d4_000009,"the plan you take a nice shower. you put on your comfiest sweater and fuzzy socks. it's the middle of the night, nice and dark and quiet. ideally it's raining. you prepare your favourite meal. eat until you feel just right. pet the kitties goodbye... they were always there for you. dont cry. they will be loved by your relatives or other kind people of this world. 

you wrote out a note explaining everything. hand written, over and over. hell, it'll never say it all but it gets the point across. they will get a glimpse into what you were thinking. no more frantic late night texts. no more of them pretending to care. no more troubling the ones you love the most. they'll be sad at first but in time they'll remember all the good things about you and thats what they'll say... she was so sweet. her heart was too big for this world. she had so much potential. we all loved her so much. 

so you'll tuck into bed, knowing all that. you'll finally feel at peace. thankful. it's over. no more pain. get extra comfy, cover up. put the gun to your head and pull the trigger. 

then perfect, sweet, sleep and silence forever. the only true thing that lasts forever in this world. death.",1
d4_000010,"my students are the only thing keeping me alive i teach elementary school, and i know how traumatic it could be for them. i feel so hopeless but they are one of the only things giving me any sort of hope right now.

edit: wow you all are so kind. thank you all so much.",1
